	Model	Dataset	No. topics	Label type	Homogeneity Score	Completeness Score	AMI Score	Counts	Topics
0	LDA	BGL-within	4	Unsupervised	0.0845271181198824	0.018751482434000162	0.021310804243818884	[58, 118, 55, 9]	[['KERNEL', 'java', 'IllegalStateException', 'lang', 'state', 'client', 'usable', 'error', 'ciod', 'r20'], ['KERNEL', '0x00000000', '0x1eeeeeee', 'r12', 'r13', 'r14', 'r15', 'r06', 'r04', 'r07'], ['KERNEL', 'DISCOVERY', 'Status', 'IpAddress', 'SerialNumber', 'r28', 'r29', 'r30', 'r31', '0x00000000'], ['KERNEL', 'IS', 'HARDWARE', 'card', 'OK', 'DISCOVERY', 'PGOOD', 'JTAG', 'NOT', 'asserted']]
1	BERTopic	BGL-within	4	Unsupervised	0.20990140932808973	0.0793649756505406	0.10221523256939649	[71, 828, 46, 13]	[['KERNEL', 'detected', 'errors', 'torus', 'corrected', 'dcr', 'sram', 'fpr10', 'fpr4', 'parity'], ['KERNEL', '0x00000000', 'DISCOVERY', '0x1eeeeeee', 'StatusA', 'IpAddress0000', 'r14', 'r15', 'r13', 'r12'], ['ciod', 'file', 'APP', 'Error', 'map', 'node', 'creating', 'MMCS', 'Source', 'ASSERT'], ['javalangIllegalStateException', 'usable', 'client', 'state', 'caught', 'javanetSocketException', 'MONITOR', 'Broken', 'pipe', 'executing']]
2	BERTopic	BGL-within	4	Binary	0.05055436986519794	0.017691894542243604	0.012946856223308307	[97, 799, 49, 13]	[['KERNEL', 'detected', 'errors', 'error', 'torus', 'corrected', 'dcr', 'parity', 'fpr10', 'fpr4'], ['KERNEL', '0x00000000', '0x1eeeeeee', 'APP', 'card', 'r12', 'r14', 'r15', 'r13', 'ciod'], ['StatusA', 'IpAddress0000', 'DISCOVERY', 'IpAddress1000237', 'IpAddress10018', 'IpAddress100112', 'SerialNumber000000000000000000000000fff29f16e026000d60e91fd9', 'BglIdoChip', 'SerialNumber000000000000000000000000fff29f16e030000d60e91fcf', 'SerialNumber000000000000000000000000fff29f16e214000d60e91deb'], ['javalangIllegalStateException', 'usable', 'client', 'state', 'caught', 'javanetSocketException', 'MONITOR', 'Broken', 'pipe', 'executing']]
3	LDA	BGL-within	16	Unsupervised	0.3290662017633512	0.032728409141226995	0.03664864447629605	[4, 4, 14, 23, 32, 6, 4, 14, 22, 19, 2, 13, 29, 23, 13, 18]	[['KERNEL', 'ciod', 'APP', 'Error', 'manager', 'memory', 'loading', 'image', 'program', 'HARDWARE'], ['IS', 'OK', 'PGOOD', 'NOT', 'asserted', 'KERNEL', 'JTAG', 'Clock', 'MPGOOD', 'Reset'], ['KERNEL', 'FF', '0D', '9F', 'F2', 'fpr5', 'E9', 'HARDWARE', 'mLp', 'fpr12'], ['KERNEL', 'r00', 'r01', 'r02', 'r03', '0x1eeeeeee', 'ciod', 'file', 'node', '0x00000000'], ['KERNEL', 'r20', 'r21', 'r22', 'r23', 'r17', 'r16', 'r18', 'r19', '0x00350000'], ['KERNEL', 'dear', 'iar', 'address', 'error', 'fpr8', 'DISCOVERY', 'MMCS', 'fpr1', 'fpr5'], ['KERNEL', 'message', 'rts', 'header', 'bad', 'index', 'type', 'cpu', 'kernel', 'program'], ['KERNEL', 'interrupt', 'error', 'detected', 'corrected', 'input', 'unit', 'bit', 'ddr', 'tree'], ['KERNEL', 'r28', 'r29', 'r30', 'r31', '0x00000000', 'fpr9', 'DCR', 'APP', 'fpr8'], ['KERNEL', 'failed', 'fpr13', 'LINKCARD', 'MidplaneSwitchController', 'fpr11', 'fpr10', 'fpr7', 'fpr6', 'fpr18'], ['KERNEL', 'register', 'DDR', 'check', 'L3', 'machine', 'bit', 'r16', 'r17', 'r18'], ['java', 'lang', 'IllegalStateException', 'state', 'client', 'usable', 'caught', 'Reply', 'card', 'MONITOR'], ['KERNEL', '0x00000000', 'r04', 'r07', 'r05', 'r06', 'detected', 'error', 'r19', 'r18'], ['KERNEL', 'r12', 'r13', 'r14', 'r15', '0x1eeeeeee', 'r08', 'r09', 'r10', 'r11'], ['Status', 'IpAddress', 'SerialNumber', 'DISCOVERY', 'HARDWARE', '10', 'EndServiceAction', 'KERNEL', 'NodeCard', 'restarting'], ['KERNEL', 'r24', 'r25', 'r27', 'r26', '0x00000000', 'machine', 'register', 'state', 'fpr1']]
4	BERTopic	BGL-within	16	Unsupervised	0.4430505407523971	0.05440201204296512	0.07332555501939417	[85, 306, 244, 52, 49, 33, 27, 25, 22, 21, 18, 18, 17, 15, 13, 13]	[['KERNEL', 'detected', 'errors', 'torus', 'corrected', 'dcr', 'fpr10', 'parity', 'fpr4', 'MidplaneSwitchController'], ['KERNEL', 'fpr8', 'fpr6', 'fpr11', 'fpr7', 'fpr12', 'dear', 'fpr5', 'iar', 'fpr9'], ['0x00000000', '0x1eeeeeee', 'KERNEL', 'r15', 'r13', 'r14', 'r12', 'r16', 'r19', 'r18'], ['ddr', 'manager', 'memory', 'rank', 'symbol', 'detected', 'DDR', 'correctable', 'errors', 'steering'], ['StatusA', 'IpAddress0000', 'DISCOVERY', 'IpAddress1000237', 'IpAddress10018', 'IpAddress100112', 'SerialNumber000000000000000000000000fff29f16e026000d60e91fd9', 'BglIdoChip', 'SerialNumber000000000000000000000000fff29f16e030000d60e91fcf', 'SerialNumber000000000000000000000000fff29f16e214000d60e91deb'], ['ciod', 'file', 'APP', 'Error', 'map', 'node', 'creating', 'loading', 'program', 'message'], ['IS', 'OK', 'PGOOD', 'asserted', 'NOT', 'card', 'Clock', 'MPGOOD', 'Temperature', 'JTAG'], ['interrupt', 'input', 'critical', 'interrupts', 'bit', 'unit', 'external', 'program', 'microseconds', 'warning'], ['ffffffff', 'plus', 'KERNEL', 'address', 'CE', 'Microloader', 'generating', 'ax', 'fraction', 'sup'], ['DCR', 'APP', '0x00000000', '0x2E4', '0x2E5', '0x2E8', '0x00080000', '0x08000000', '0x2DC', '0x2DD'], ['rts', 'index', 'header', 'bad', 'cpu', 'message', 'type', 'terminated', 'reason', 'kernel'], ['register', 'machine', 'state', 'Registers', 'L3', 'Purpose', 'Point', 'Floating', 'purpose', 'Register'], ['HARDWARE', 'PrepareForService', 'EndServiceAction', 'Service', 'Action', 'mLpFF', 'rack', 'restarting', 'root', 'pjmccart'], ['ASSERT', 'MMCS', 'Source', 'BGLMASTER', 'idoproxydb', 'condition', 'exited', 'Function', 'hit', 'expression'], ['javalangIllegalStateException', 'usable', 'client', 'state', 'caught', 'javanetSocketException', 'Broken', 'MONITOR', 'pipe', 'executing'], ['Reply', 'FF', 'Sync', 'Op', 'Actual', 'Command', 'Expected', 'F2', '0D', '9F']]
5	BERTopic	BGL-within	16	Binary	0.45913959567024626	0.05751964094306745	0.08030541884742005	[80, 309, 245, 55, 49, 32, 30, 25, 21, 20, 19, 18, 16, 14, 13, 12]	[['detected', 'KERNEL', 'torus', 'corrected', 'dcr', 'errors', 'iar', 'fpr4', 'dear', 'sram'], ['KERNEL', 'fpr6', 'fpr8', 'fpr7', 'fpr11', 'fpr12', 'fpr10', 'fpr5', 'fpr13', 'fpr9'], ['0x00000000', '0x1eeeeeee', 'KERNEL', 'r12', 'r14', 'r13', 'r15', 'r16', 'r17', 'r19'], ['ciod', 'Error', 'file', 'message', 'APP', 'rts', 'map', 'node', 'creating', 'index'], ['StatusA', 'IpAddress0000', 'DISCOVERY', 'IpAddress1000237', 'IpAddress10018', 'IpAddress100112', 'SerialNumber000000000000000000000000fff29f16e026000d60e91fd9', 'BglIdoChip', 'SerialNumber000000000000000000000000fff29f16e030000d60e91fcf', 'SerialNumber000000000000000000000000fff29f16e214000d60e91deb'], ['ddr', 'symbol', 'rank', 'correctable', 'errors', 'detected', 'DDR', 'corrected', 'L3', 'steering'], ['HARDWARE', 'PrepareForService', 'ASSERT', 'Source', 'MMCS', 'EndServiceAction', 'Action', 'Service', 'idoproxydb', 'mLpFF'], ['IS', 'OK', 'PGOOD', 'NOT', 'asserted', 'Temperature', 'Clock', 'MPGOOD', 'Reset', 'JTAG'], ['DCR', 'APP', '0x00000000', '0x2E4', '0x2E5', '0x2E8', '0x00080000', '0x08000000', '0x2DC', '0x2DD'], ['ffffffff', 'plus', 'KERNEL', 'ax', 'CE', 'fraction', 'mask', 'problem', 'sup', 'minus'], ['interrupt', 'input', 'critical', 'interrupts', 'unit', 'program', 'bit', 'external', 'microseconds', 'suppressing'], ['MidplaneSwitchController', 'LINKCARD', 'interrupt', 'status', 'failed', 'bit', 'signal', 'error', 'check', 'iap'], ['manager', 'memory', 'parity0', 'buffer', 'parity', 'address', 'refresh', 'error0', 'store', 'KERNEL'], ['register', 'machine', 'state', 'Registers', 'Purpose', 'Floating', 'purpose', 'Point', 'Register', 'registers'], ['javalangIllegalStateException', 'usable', 'client', 'state', 'caught', 'javanetSocketException', 'Broken', 'MONITOR', 'pipe', 'executing'], ['Reply', 'FF', 'Op', 'Sync', 'Actual', 'Command', 'Expected', '9F', 'F2', '0D']]
